link_id,from_node_id,to_node_id,distance_km,distance_mile,fftt,vehicle_volume,ref_volume,ref_diff,background_volume,travel_time,speed_kmph,speed_mph
1,1,2,0.006,0.003729,0.006,6082.917,5083.214,999.703,0,0.006,3.6,2.237
2,1,3,0.004,0.002486,0.004,9947.412,8782.614,1164.798,0,0.004,2.4,1.492
3,2,1,0.006,0.003729,0.006,6024.087,5182.613,841.474,0,0.006,3.6,2.237
4,2,6,0.005,0.003108,0.005,6250.21,5483.214,766.996,0,0.007,3,1.865
5,3,1,0.004,0.002486,0.004,10006.241,8683.215,1323.026,0,0.004,2.4,1.492
6,3,4,0.004,0.002486,0.004,15907.445,14796.577,1110.868,0,0.004,2.4,1.492
7,3,12,0.004,0.002486,0.004,14537.92,10373.788,4164.132,0,0.004,2.4,1.492
8,4,3,0.004,0.002486,0.004,15955.898,14791.177,1164.721,0,0.004,2.4,1.492
9,4,5,0.002,0.001243,0.002,19666.133,18945.744,720.389,0,0.002,1.2,0.746
10,4,11,0.006,0.003729,0.006,6886.221,5240.831,1645.39,0,0.009,3.6,2.237
11,5,4,0.002,0.001243,0.002,19774.715,18832.006,942.709,0,0.002,1.2,0.746
12,5,6,0.004,0.002486,0.004,8501.131,8554.285,-53.154,0,0.009,2.4,1.492
13,5,9,0.005,0.003108,0.005,16793.783,15714.926,1078.857,0,0.011,3,1.865
14,6,2,0.005,0.003108,0.005,6191.38,5582.613,608.767,0,0.007,3,1.865
15,6,5,0.004,0.002486,0.004,8449.092,8519.162,-70.07,0,0.009,2.4,1.492
16,6,8,0.002,0.001243,0.002,13019.411,12837.499,181.912,0,0.017,1.2,0.746
17,7,8,0.003,0.001865,0.003,13550.325,12616.312,934.013,0,0.007,1.8,1.119
18,7,18,0.002,0.001243,0.002,16334.006,15620.555,713.451,0,0.002,1.2,0.746
19,8,6,0.002,0.001243,0.002,12908.542,12901.775,6.767,0,0.016,1.2,0.746
20,8,7,0.003,0.001865,0.003,13656.488,12528.57,1127.918,0,0.007,1.8,1.119
21,8,9,0.01,0.006215,0.01,7246.649,7211.184,35.465,0,0.016,6,3.729
22,8,16,0.005,0.003108,0.005,8202.547,8565.569,-363.022,0,0.01,3,1.865
