o_zone_id,d_zone_id,volume
1,1,0
1,2,90
1,3,90
1,4,450
1,5,180
1,6,270
1,7,450
1,8,720
1,9,450
1,10,1170
1,11,450
1,12,180
1,13,450
1,14,270
1,15,450
1,16,450
1,17,360
1,18,90
1,19,270
1,20,270
1,21,90
1,22,360
1,23,270
1,24,90
2,1,90
2,2,0
2,3,90
2,4,180
2,5,90
2,6,360
2,7,180
2,8,360
2,9,180
2,10,540
2,11,180
2,12,90
2,13,270
2,14,90
2,15,90
2,16,360
2,17,180
2,18,0
2,19,90
2,20,90
2,21,0
2,22,90
2,23,0
2,24,0
3,1,90
3,2,90
3,3,0
3,4,180
3,5,90
3,6,270
3,7,90
3,8,180
3,9,90
3,10,270
3,11,270
3,12,180
3,13,90
3,14,90
3,15,90
3,16,180
3,17,90
3,18,0
3,19,0
3,20,0
3,21,0
3,22,90
3,23,90
3,24,0
4,1,450
4,2,180
4,3,180
4,4,0
4,5,450
4,6,360
4,7,360
4,8,630
4,9,630
4,10,1080
4,11,1260
4,12,540
4,13,540
4,14,450
4,15,450
4,16,720
4,17,450
4,18,90
4,19,180
4,20,270
4,21,180
4,22,360
4,23,450
4,24,180
5,1,180
5,2,90
5,3,90
5,4,450
5,5,0
5,6,180
5,7,180
5,8,450
5,9,720
5,10,900
5,11,450
5,12,180
5,13,180
5,14,90
5,15,180
5,16,450
5,17,180
5,18,0
5,19,90
5,20,90
5,21,90
5,22,180
5,23,90
5,24,0
6,1,270
6,2,360
6,3,270
6,4,360
6,5,180
6,6,0
6,7,360
6,8,720
6,9,360
6,10,720
6,11,360
6,12,180
6,13,180
6,14,90
6,15,180
6,16,810
6,17,450
6,18,90
6,19,180
6,20,270
6,21,90
6,22,180
6,23,90
6,24,90
7,1,450
7,2,180
7,3,90
7,4,360
7,5,180
7,6,360
7,7,0
7,8,900
7,9,540
7,10,1710
7,11,450
7,12,630
7,13,360
7,14,180
7,15,450
7,16,1260
7,17,900
7,18,180
7,19,360
7,20,450
7,21,180
7,22,450
7,23,180
7,24,90
8,1,720
